Intent,Answer
Make-up Exam Eligibility,"The students that have applied through the Office of the Secretary of the Institute are notified by e-mail of the decision of the Administrative Board of the Institute (accepted or rejected). Exam dates, exam times and exam venues are shared in the aforementioned notification e-mail for the accepted applications."
Maximum Registration Freeze Period,"Students can freeze their registration for a maximum of four semesters in total, with a maximum of two semesters at a time in master's programs with thesis. In non-thesis master's programs, registration can be frozen for a maximum of two semesters."
Medical Excuse Attendance Policy,"No, the periods during which students with a medical report are excused are not counted as absenteeism. However, note that this period cannot exceed 50% of the total course hours."
Pass Failed Course,"Yes, as far as the lessons you have failed with an FF are concerned, you can apply in the semester of your program for an additional exam for graduation and/or single exam for graduation, which will grant you to pass your failed course by taking just an ex am."
Postgraduate Registration Freeze,"Yes, students that apply to freeze their registrations for rightful and valid excuses such as health, military service, financial issues, natural disasters, family issues, education abroad etc. within their maximum education duration period and ed that they can d their excuses."
Registration Freeze Application,"When you wish to freeze your registration, you need to visit the Financial Affairs Office and pay the fee set by the Board of Trustees at the beginning of the semester for freezing registration and then submit the petition for freezing your registration signed wet personally by the student to the Institute. The Institute Board then rules in favor or against the request of the student. In order to receive further information regarding the financial liabilities, please send an email to muhasebe@beykoz.edu.tr ."
Repeat Exam Eligibility,"Yes, even if you have not taken the final exam, you can take the repeat exam."
Repeat Exam Petition Requirement,"No, there is no need to apply with a petition. A repeat exam is held following at the end of the semester exams and it is for the failed (FF) courses taken in that academic semester. Every student who has received an FF can take the repeat exam. There are no additional requirements to take that exam."
Request Additional Time in Non-Thesis Program,"Unfortunately, there is no additional time in our non-thesis programs. The maximum duration of study for non-thesis master's programs is 1.5 years, which is 3 semesters in total."
Request Additional Time in Thesis Program,"The maximum study period of master's programs with thesis is 4 semesters, and they can be completed in a maximum of 6 semesters by taking 2 additional semesters. Starting the semesters 5 and 6 involves additional financial obligations on your side. For information on these additional financial obligations, please send an e-mail to muhasebe@beykoz.edu.tr."
Retake Course to Improve GPA,"Yes, the students can retake the courses they have passed to increase their GPA if they wish. The higher grade they have received is recorded on their transcripts."
Retaken Course Attendance Requirement,"No, if a student has fulfilled the attendance requirements once, they do not need to attend the course they are taking again provided that they comply with the assessment and evaluation requirements for that course for that semester and at the end of the semester."
Semester Registration Requirement,"Yes, you have to renew the course registration / course selection process each semester."
Single Course Exam Application for Graduation,The single course exam is organized for the students that have taken and passed all the courses except for one required by a program and they need to have fulfilled the attendance requirements for that course too.
Sufficient Grades for Success,"A student who has received one of the following letter grades AA, BA, BB, CB, CC, BI and M as a passing grade for a course is deemed to have been successful in that course."
Term Project Presentation Date Ranges,The first date range for is set for the presentations of students that have been successful in all their courses and have achieved the 2.5 GPA required for their graduation.
Term Project Submission Requirement,"No, the submitted term projects need to be presented to the jury on the presentation weeks specified by the academic calendar, and following the completion of the presentation, the jury decides whether the term project is Successful (BI) / Unsuccessful (BZ)."
